ID	Domanda	Risposta Corretta	Risposta Errata 1	Risposta Errata 2	Risposta Errata 3
1	Qual è il paese più grande del mondo per superficie?	Russia	Cina	Stati Uniti	Brasile
1	Qual è la capitale del Giappone?	Tokyo	Seoul	Shanghai	Beijing
1	Qual è il fiume più lungo del mondo?	Nilo	Amazon	Tevere	Yangtze
1	Che catena montuosa separa l'Europa dall'Asia?	Monti Urali	Appalachi	Alpi	Ande
1	Qual è il lago più profondo del mondo?	Lago Baikal	Lago Superiore	Lago di Garda	Lago Titicaca
1	Qual è la città più popolosa del mondo?	Tokyo	Shanghai	Delhi	Mumbai
1	Qual è il deserto più grande del mondo?	Antartide	Sahara	Kalahari	Atacama
1	Qual è la più grande isola del mondo?	Groenlandia	Islanda	Java	Sumatra
1	Qual è il più grande oceano del mondo?	Oceano Pacifico	Oceano Atlantico	Oceano Indiano	Oceano Antartico
1	Qual è la catena montuosa più alta del mondo?	Himalaya	Alpi	Ande	Appalachi
2	Quale civiltà costruì le piramidi di Giza?	Antico Egitto	Impero Romano	Grecia Antica	Impero Persiano
2	Chi fu il primo imperatore romano?	Augusto	Marco Aurelio	Nerone	Caligola
2	Quale civiltà antica ha creato la prima forma di democrazia?	Grecia Antica	Impero Persiano	Egitto Antico	Impero Romano
2	Chi fu il primo imperatore dell'Impero Persiano?	Ciro il Grande	Dario I	Artaserse	Alessandro il Grande
2	Qual è stata la prima civiltà a utilizzare la scrittura?	Sumeri	Egizi	Greci	Romani
2	Quale evento segnò la caduta dell'Impero Romano d'Occidente?	Crollo di Roma	Invasione dei barbari	Assassinio di Giulio Cesare	Guerra delle Galie
2	Chi era il famoso condottiero cartaginese che combatté contro Roma?	Annibale	Alessandro il Grande	Scipione Africano	Bruto
2	Quale civiltà antica costruì la Grande Muraglia?	Cina	India	Mesopotamia	Egitto
2	Quale evento segnò la fine della dinastia Qing in Cina?	Rivoluzione Cinese	Invasione Mongola	Guerra dell'Oppio	Invasione Giapponese
2	Chi era il primo imperatore dell'antica Roma?	Romolo	Marco Aurelio	Augusto	Nerone
3	Quanto fa 2+2?	4	3	5	6
3	Cosa indica il simbolo π?	Pi greco	Numero di Fibonacci	Numero di Eulero	Rapporto aureo
3	Cosa è l'ipotenusa di un triangolo rettangolo?	Il lato più lungo	Il lato opposto all'angolo retto	La somma degli altri due lati	L'area del triangolo
